"RAL Code","RAL Name","Description","Usage Tags","Mood Tags"
"RAL 1000","Green beige","Stellen Sie sich RAL 1000 {0} als ein sanftes Flüstern der Natur vor. Es ist ein anspruchsvoller Neutralton, der die stille Lücke zwischen erdigem Sand und subtilem Pflanzengrün schließt. Durch seinen Olivenunterton wirkt er unglaublich organisch und geerdet, ganz ohne die Sterilität eines klassischen Baubeiges. Im hellen Tageslicht offenbart er einen warmen, sandigen Charakter, während er in der Dämmerung seine natürliche Tiefe zeigt. Eine wunderbare Wahl für Fassaden oder die Restaurierung historischer Technik, wenn ein Look gefragt ist, der verlässlich und harmonisch in der Landschaft wirkt.","ARCHITECTURE, FACADES, VINTAGE_RESTORATION, INTERIOR_DESIGN, INDUSTRIAL","NATURAL, ORGANIC, SUBDUED, RELIABLE, GROUNDED"
"RAL 1001","Beige","RAL 1001 {0} ist der verlässliche beste Freund der Designwelt. Es ist ein warmer, ansprechbarer Neutralton mit einem sonnigen, goldenen Einschlag, der jeden Raum sofort einladender wirken lässt. Im Gegensatz zu kühleren Grautönen besitzt dieser Ton eine butterweiche Tiefe, die unter warmem Licht fast leuchtet, während er im Freien seinen soliden, sandigen Charakter behält. Er ist ein wahrer Champion darin, Staub fast unsichtbar zu machen, weshalb er ideal für Küchenschränke oder öffentliche Bereiche ist. Perfekt für einen klassischen Look, der Stabilität und Wärme ausstrahlt.","INTERIOR_DESIGN, CABINETRY, PUBLIC_INFRASTRUCTURE, FURNITURE, ARCHITECTURE","WARM, CLASSIC, STABLE, WELCOMING, DEPENDABLE"
"RAL 1002","Sand yellow","Wie eine von der Sonne gewärmte Wüstenlandschaft bringt RAL 1002 {0} eine robuste, erdige Wärme in jedes Projekt. Durch seine feinen rötlichen Untertöne wirkt dieser Ton viel substanzieller als ein Standard-Beige. Es ist eine Farbe, die Stärke und Ausdauer verkörpert – kein Wunder, dass sie oft für schwere Maschinen und im Outdoor-Bereich eingesetzt wird. Im Innenraum schafft sie eine einhüllende Atmosphäre, ohne den Raum zu erdrücken. Ein Favorit für alle, die eine natürliche Integrität und eine bodenständige, utilitaristische Ästhetik suchen.","CONSTRUCTION_EQUIPMENT, MILITARY, AUTOMOTIVE, INDUSTRIAL_COATINGS, LANDSCAPING","RUGGED, EARTHY, DURABLE, RESILIENT, SUN_BAKED"
"RAL 1003","Signal yellow","RAL 1003 {0} ist der visuelle Inbegriff von Aufmerksamkeit. Dieser energiegeladene, kräftige Gelbton wurde speziell entwickelt, um sofort ins Auge zu fallen, weshalb er weltweit der Standard für Sicherheitszeichen und Rettungsfahrzeuge ist. Er ist etwas wärmer als ein reines Primärgelb, was ihm mehr Gewicht und Dringlichkeit verleiht. Auch wenn er für eine Schlafzimmerwand vielleicht zu intensiv ist, ist er brillant als Akzent für moderne Industriemöbel oder architektonische Highlights, die Energie, Wachsamkeit und funktionale Stärke signalisieren sollen.","SAFETY_SIGNAGE, EMERGENCY_VEHICLES, INDUSTRIAL_DESIGN, WAYFINDING, TRANSPORTATION","ENERGETIC, BOLD, ALERT, URGENT, FUNCTIONAL"
"RAL 1004","Golden yellow","RAL 1004 {0} ist die Farbe von Wohlstand und spätsommerlichem Sonnenschein. Als satter, strahlender Ton, der an reifes Korn erinnert, wirkt er deutlich edler als reine Warnfarben. Große Marken nutzen diesen Ton oft, um Qualität und Beständigkeit zu signalisieren. An einer Fassade wirkt er vor einem blauen Himmel besonders spektakulär, während er im Innenraum sparsam eingesetzt eine optimistische, fast luxuriöse Atmosphäre schafft. Es ist die perfekte Mischung aus industrieller Kraft und einer warmen, einladenden Ausstrahlung.","CORPORATE_BRANDING, HEAVY_MACHINERY, ARCHITECTURAL_STEEL, PRODUCT_DESIGN, LOGOS","RADIANT, OPTIMISTIC, PREMIUM, STRONG, VIBRANT"
"RAL 1005","Honey yellow","RAL 1005 {0} fühlt sich an wie ein gemütlicher Herbstnachmittag. Es ist ein dichter, satter Gelbton mit sirupartigen braunen Untertönen, die ihm eine organische, erwachsene Tiefe verleihen. Hier finden Sie keine grelle Energie; stattdessen bietet er ein Gefühl von Tradition und Komfort, oft zu sehen an klassischen Bussen oder in der Oldtimer-Restaurierung. In der Innenarchitektur schafft er eine wunderbare Geborgenheit und harmoniert prächtig mit dunklen Hölzern. Eine Farbe für Designs, die Handwerkskunst, Authentizität und zeitlose Wärme betonen wollen.","AUTOMOTIVE_RESTORATION, INTERIOR_DESIGN, FURNITURE, TEXTILES, PUBLIC_TRANSPORT","RICH, ORGANIC, COZY, RETRO, SUBSTANTIAL"
"RAL 1006","Maize yellow","Benannt nach dem reifen Mais, ist RAL 1006 {0} ein freundliches, energiegeladenes Gelb, das direkt an der Grenze zu Orange tanzt. Es besitzt einen einladenden, bürgernahen Charakter – denken Sie an die fröhliche Farbe von Postkästen oder Stadtbahnen. Es ist sichtbar und selbstbewusst, ohne hart zu wirken, was es zur idealen Wahl für Schulen, Spielplätze oder öffentliche Räume macht. In der modernen Architektur ist es ein fantastisches Mittel, um grauem Beton oder kaltem Stahl Leben einzuhauchen und eine Brücke zwischen Funktion und emotionaler Wärme zu schlagen.","CIVIC_INFRASTRUCTURE, PLAYGROUNDS, EDUCATION, SIGNAGE, ARCHITECTURAL_ACCENTS","BRIGHT, CHEERFUL, ENERGETIC, PRACTICAL, OPTIMISTIC"
"RAL 1007","Daffodil yellow","RAL 1007 {0} ist wie ein Strauß Frühling in einer Dose. Es ist ein lebendiges, leuchtendes Gelb mit einem warmen, golden-orangen Kern, das genau die Leuchtkraft der Blume einfängt, nach der es benannt ist. Während es genug Energie für Landmaschinen besitzt, hat es eine florale Schönheit, die in der modernen Inneneinrichtung für echte Lichtblicke sorgt. Diese Farbe weigert sich, im Schatten stumpf zu wirken, und ist daher eine verlässliche Wahl, um Räume dauerhaft aufzuhellen. Es ist der perfekte Mix aus funktionaler Sichtbarkeit und einer ausdrucksstarken, lebensfrohen Wärme.","AGRICULTURAL_MACHINERY, PUBLIC_SPACE, INTERIOR_ACCENTS, PACKAGING, TRANSPORTATION","UPLIFTING, BRIGHT, ENERGETIC, WARM, EXPRESSIVE"
"RAL 1011","Brown beige","RAL 1011 {0} ist ein tief geerdeter, erdiger Neutralton, der wie eine warme Umarmung aus der Natur wirkt. Mit seinem hellen Hellbraun und seinem Charakter von Lehm oder sonnengetrocknetem Stein harmoniert er perfekt mit Ziegeln und Grünanlagen. Architekten lieben ihn für Fassadenverkleidungen und Zäune, weil er nicht schreit, sondern sich zurückhaltend einfügt. Er ist zudem extrem praktisch für industrielle Ausrüstung, da er Gebrauchsspuren und Staub verzeiht. Nutzen Sie diesen Ton, wenn Sie eine stabile, zeitlose Verlässlichkeit und eine tiefe Verbindung zur Natur ausdrücken möchten.","EXTERIOR_CLADDING, RESIDENTIAL_ARCHITECTURE, MILITARY, FENCING, INDUSTRIAL","EARTHY, STABLE, TIMELESS, GROUNDED, DEPENDABLE"
"RAL 1012","Lemon yellow","RAL 1012 {0} ist spritzig, frisch und unbestreitbar modern. Im Gegensatz zu warmen Goldtönen hat dieser Schatten einen leicht säuerlichen, grünlichen Einschlag, der ihn sauber und hygienisch wirken lässt. Er reflektiert das Licht hervorragend, weshalb er im Grafikdesign und bei Stadtmöbeln so beliebt ist. Er wirkt nicht wie eine Warnung vor Gefahr, sondern wie eine Einladung zur Innovation. In einem Raum kann er eine dunkle Ecke in ein frisches Highlight verwandeln. Die perfekte Wahl für ein scharfes, modernistisches Design, das Klarheit und Spontaneität ausstrahlt.","FOOD_INDUSTRY, SIGNAGE, PRODUCT_DESIGN, MODERN_INTERIORS, BRANDING","CRISP, MODERN, HYGIENIC, SHARP, CLARIFYING"
