"RAL Code","RAL Name","Description","Usage Tags","Mood Tags"
"RAL 1000","Green beige","Think of {0} as a soft whisper of nature; it’s a sophisticated neutral that lives in the quiet space between earthy sand and sun-dried grass. Because it has a hidden olive undertone, it feels incredibly organic and grounded, avoiding that sterile 'builder's beige' look. In the bright morning sun, it reveals a warm, sandy heart, but as the evening light fades, its green side comes out to play. It’s a wonderful choice for home exteriors or vintage machinery where you want a look that feels reliable, understated, and completely at home in the landscape.","ARCHITECTURE, FACADES, VINTAGE_RESTORATION, INTERIOR_DESIGN, INDUSTRIAL","NATURAL, ORGANIC, SUBDUED, RELIABLE, GROUNDED"
"RAL 1001","Beige","{0} is the dependable best friend of the design world. It’s a warm, approachable neutral with a sunny, golden heart that makes any space feel instantly more welcoming. Unlike colder greys, this shade has a buttery depth that glows under warm indoor lighting, yet it stays solid and sandy in the bright outdoors. You’ll see it everywhere from classic kitchen cabinetry to public buildings because it’s world-class at hiding dust and maintaining a clean, stable look. It’s the perfect choice for anyone looking for a simple, classic aesthetic that feels a bit more cozy than white.","INTERIOR_DESIGN, CABINETRY, PUBLIC_INFRASTRUCTURE, FURNITURE, ARCHITECTURE","WARM, CLASSIC, STABLE, WELCOMING, DEPENDABLE"
"RAL 1002","Sand yellow","Imagine a desert landscape baked by the sun, and you’ve got {0}. It’s a robust, earthy yellow that feels much more substantial than your average beige thanks to its subtle reddish-brown undertones. This is a 'workhorse' color—historically used on heavy-duty vehicles and military equipment because it is incredibly durable and blends perfectly with arid environments. In a home or office, it brings a sense of rugged resilience. It’s a great accent for spaces that need to feel enveloped in warmth without being too bright or overwhelming.","CONSTRUCTION_EQUIPMENT, MILITARY, AUTOMOTIVE, INDUSTRIAL_COATINGS, LANDSCAPING","RUGGED, EARTHY, DURABLE, RESILIENT, SUN_BAKED"
"RAL 1003","Signal yellow","{0} is the visual equivalent of a loud, clear wake-up call. It’s a high-energy, commanding yellow that was engineered specifically to catch the eye instantly, which is why it’s the global standard for safety signs and emergency vehicles. It’s slightly warmer and more 'golden' than a primary yellow, giving it a sense of urgency rather than just brightness. While it might be a bit too intense for a bedroom wall, it’s a brilliant choice for modern industrial furniture or architectural highlights where you want to signal movement, safety, and high energy.","SAFETY_SIGNAGE, EMERGENCY_VEHICLES, INDUSTRIAL_DESIGN, WAYFINDING, TRANSPORTATION","ENERGETIC, BOLD, ALERT, URGENT, FUNCTIONAL"
"RAL 1004","Golden yellow","{0} is the color of prosperity and late-summer sunshine. It’s a rich, saturated yellow that’s a bit deeper and more 'amber' than a safety yellow, making it feel premium rather than alarming. This is the color of iconic heavy machinery and famous corporate brands—it’s designed to project strength, quality, and a sunny disposition. On a building's facade, it looks stunning against a blue sky, and in an interior, even a small touch of it can make a room feel expansive and optimistic. It’s the perfect blend of industrial power and cheerful warmth.","CORPORATE_BRANDING, HEAVY_MACHINERY, ARCHITECTURAL_STEEL, PRODUCT_DESIGN, LOGOS","RADIANT, OPTIMISTIC, PREMIUM, STRONG, VIBRANT"
"RAL 1005","Honey yellow","{0} feels like a cozy autumn afternoon. It’s a dense, saturated yellow with syrupy brown undertones that give it an organic, 'grown-up' depth. You won’t find any neon energy here; instead, it offers a sense of heritage and comfort, often seen on classic buses or in retro automotive restorations. In interior design, it’s a favorite for creating a 'snug' feel, pairing beautifully with dark wood and plush textiles. It suggests abundance and craftsmanship, making it ideal for those who love a vintage aesthetic that feels substantial and authentically warm.","AUTOMOTIVE_RESTORATION, INTERIOR_DESIGN, FURNITURE, TEXTILES, PUBLIC_TRANSPORT","RICH, ORGANIC, COZY, RETRO, SUBSTANTIAL"
"RAL 1006","Maize yellow","Named after ripened corn, {0} is a friendly, energetic yellow that sits right on the edge of orange. It has an inviting, civic character—think of the cheerful yellow of a post box or a city tram. It’s visible and confident without being harsh, making it a wonderful choice for schools, playgrounds, or any public space where you want to encourage communication and activity. In modern architecture, it’s a fantastic way to inject a pulse of life into grey concrete or cold steel, offering a grounded, agricultural heritage with a very modern, optimistic twist.","CIVIC_INFRASTRUCTURE, PLAYGROUNDS, EDUCATION, SIGNAGE, ARCHITECTURAL_ACCENTS","BRIGHT, CHEERFUL, ENERGETIC, PRACTICAL, OPTIMISTIC"
"RAL 1007","Daffodil yellow","{0} is a burst of spring in a can. It’s a vibrant, luminous yellow with a warm, golden-orange heart that mimics the flower it’s named after. While it’s energetic enough for construction equipment and public transport, it also has a fresh, floral beauty that works surprisingly well in modern home decor. It’s a color that refuses to look dull even in the shadows, making it a reliable choice for brightening up a space permanently. It bridges the gap between purely functional 'caution' yellow and an expressive, solar warmth that feels active and full of life.","AGRICULTURAL_MACHINERY, PUBLIC_SPACE, INTERIOR_ACCENTS, PACKAGING, TRANSPORTATION","UPLIFTING, BRIGHT, ENERGETIC, WARM, EXPRESSIVE"
"RAL 1011","Brown beige","{0} is a deeply grounded, earthy neutral that feels like a warm embrace from the natural world. With its light tan and fawn-like character, it leans heavily into reddish-brown undertones, resembling natural clay or sun-dried stone. Architects love it for window profiles and exterior cladding because it doesn't shout; it harmonizes perfectly with brick and greenery. It’s also incredibly practical for industrial gear because it hides soil and wear beautifully. Use this when you want a look that is stable, non-polarizing, and carries a quiet, timeless reliability.","EXTERIOR_CLADDING, RESIDENTIAL_ARCHITECTURE, MILITARY, FENCING, INDUSTRIAL","EARTHY, STABLE, TIMELESS, GROUNDED, DEPENDABLE"
"RAL 1012","Lemon yellow","{0} is crisp, tart, and undeniably modern. Unlike warmer 'golden' yellows, this shade has a slight acidic, greenish bite that makes it feel fresh and hygienic. It’s highly reflective and brilliant in daylight, which is why it’s a go-to for contemporary product design and signage. It doesn’t feel like a danger warning; it feels like an invitation to innovate. In a room, it can turn a dark corner into a bright highlight, especially when paired with clean whites or cool greys. It’s the perfect accent for anyone who wants a sharp, modernist look that feels clear and spontaneous.","FOOD_INDUSTRY, SIGNAGE, PRODUCT_DESIGN, MODERN_INTERIORS, BRANDING","CRISP, MODERN, HYGIENIC, SHARP, CLARIFYING"
