RAL Code,LRV (Hellbezugswert)
1000,"51,79"
1001,"48,09"
1002,"45,07"
1003,"49,05"
1004,"42,13"
1005,"34,15"
1006,"37,45"
1007,"37,63"
1011,"27,65"
1012,"47,83"
1013,"70,76"
1014,"58,34"
1015,"67,55"
1016,"71,30"
1017,"49,80"
1018,"63,81"
1019,"30,53"
1020,"29,44"
1021,"53,97"
1023,"54,24"
1024,"32,74"
1026,"88,65"
1027,"25,72"
1028,"47,55"
1032,"43,37"
1033,"44,66"
1034,"43,82"
1035,"34,58"
1036,"28,30"
1037,"40,61"
2000,"28,22"
2001,"17,78"
2002,"16,33"
2003,"34,84"
2004,"24,61"
2005,"33,91"
2007,"61,33"
2008,"29,95"
2009,"23,78"
2010,"23,01"
2011,"29,44"
2012,"25,27"
2013,"14,25"
2017,"28,19"
3000,"12,63"
3001,"11,09"
3002,"10,80"
3003,"8,75"
3004,"7,39"
3005,"6,50"
3007,"5,47"
3009,"8,50"
3011,"8,22"
3012,"31,93"
3013,"11,36"
3014,"27,79"
3015,"44,15"
3016,"13,96"
3017,"21,80"
3018,"18,61"
3020,"14,16"
3022,"25,49"
3024,"24,33"
3026,"26,10"
3027,"13,04"
3028,"17,29"
3031,"13,57"
3032,"8,36"
3033,"16,19"
4001,"17,50"
4002,"12,31"
4003,"24,50"
4004,"7,18"
4005,"18,87"
4006,"12,69"
4007,"6,24"
4008,"14,21"
4009,"27,96"
4010,"18,48"
4011,"23,15"
4012,"25,34"
5000,"9,81"
5001,"8,57"
5002,"7,44"
5003,"6,21"
5004,"4,62"
5005,"10,27"
5007,"15,25"
5008,"7,00"
5009,"11,90"
5010,"9,31"
5011,"5,44"
5012,"23,21"
5013,"6,10"
5014,"21,54"
5015,"19,03"
5017,"11,46"
5018,"23,01"
5019,"11,79"
5020,"7,18"
5021,"15,94"
5022,"6,01"
5023,"16,13"
5024,"28,56"
5025,"17,91"
5026,"7,63"
6000,"17,11"
6001,"13,54"
6002,"11,18"
6003,"10,81"
6004,"7,66"
6005,"7,09"
6006,"7,51"
6007,"6,33"
6008,"6,05"
6009,"6,11"
6010,"15,18"
6011,"20,85"
6012,"7,01"
6013,"20,19"
6014,"7,84"
6015,"7,00"
6016,"12,99"
6017,"20,05"
6018,"27,51"
6019,"58,29"
6020,"8,28"
6021,"32,14"
6022,"6,32"
6024,"19,75"
6025,"16,16"
6026,"10,75"
6027,"44,35"
6028,"10,44"
6029,"13,93"
6032,"18,79"
6033,"22,75"
6034,"38,69"
6035,"10,60"
6036,"14,23"
6037,"21,38"
6038,"29,78"
6039,"48,97"
7000,"25,68"
7001,"31,66"
7002,"22,15"
7003,"20,19"
7004,"34,79"
7005,"18,03"
7006,"16,94"
7008,"15,09"
7009,"12,97"
7010,"12,89"
7011,"12,04"
7012,"14,11"
7013,"10,60"
7015,"11,50"
7016,"8,07"
7021,"6,48"
7022,"9,88"
7023,"23,20"
7024,"9,34"
7026,"8,27"
7030,"29,36"
7031,"16,43"
7032,"44,61"
7033,"24,14"
7034,"27,28"
7035,"58,34"
7036,"31,66"
7037,"22,95"
7038,"45,28"
7039,"16,62"
7040,"35,91"
7042,"30,93"
7043,"11,35"
7044,"47,21"
7045,"31,21"
7046,"25,48"
7047,"59,07"
7048,"33,57"
8000,"18,33"
8001,"18,69"
8002,"12,23"
8003,"12,78"
8004,"13,54"
8007,"10,60"
8008,"11,88"
8011,"8,11"
8012,"8,16"
8014,"7,12"
8015,"7,67"
8016,"6,78"
8017,"6,64"
8019,"6,88"
8022,"4,57"
8023,"17,78"
8024,"12,99"
8025,"13,68"
8028,"8,21"
8029,"14,02"
9001,"75,78"
9002,"67,19"
9003,"84,54"
9004,"5,69"
9005,"4,22"
9006,"45,88"
9007,"28,94"
9010,"84,82"
9011,"4,87"
9012,"87,33"
9016,"87,27"
9017,"5,09"
9018,"60,77"
9022,"35,40"
9023,"33,87"
