RAL Code,LRV
000 15 00,"5,31"
000 20 00,"6,18"
000 25 00,"7,88"
000 30 00,"9,32"
000 35 00,"11,47"
000 40 00,"14,13"
000 45 00,"17,55"
000 50 00,"21,02"
000 55 00,"25,12"
000 60 00,"29,99"
000 65 00,"36,69"
000 70 00,"43,47"
000 75 00,"50,86"
000 80 00,"58,95"
000 85 00,"67,66"
000 90 00,"76,51"
010 20 10,"6,43"
010 20 15,"6,18"
010 20 20,"6,23"
010 20 25,"6,22"
010 30 10,"9,60"
010 30 15,"9,49"
010 30 20,"9,60"
010 30 25,"9,49"
010 30 30,"9,52"
010 30 35,"9,23"
010 30 40,"9,37"
010 30 44,"9,43"
010 40 10,"14,31"
010 40 15,"14,13"
010 40 20,"14,19"
010 40 25,"14,32"
010 40 30,"14,33"
010 40 35,"13,79"
010 40 40,"14,07"
010 40 45,"14,15"
010 40 50,"14,36"
010 40 53,"14,24"
010 50 10,"21,00"
010 50 15,"20,66"
010 50 20,"20,88"
010 50 25,"21,01"
010 50 30,"21,06"
010 50 35,"20,68"
010 50 40,"20,85"
010 50 45,"20,31"
010 50 50,"20,82"
010 60 10,"30,45"
010 60 15,"30,81"
010 60 20,"30,83"
010 60 25,"30,40"
010 60 30,"30,18"
010 60 35,"30,41"
010 60 40,"30,21"
010 60 45,"30,55"
010 70 10,"43,50"
010 70 15,"43,06"
010 70 20,"43,16"
010 70 25,"42,84"
010 70 30,"43,12"
010 70 35,"42,37"
010 80 10,"58,50"
010 80 15,"58,21"
010 80 20,"58,22"
010 85 05,"65,94"
010 85 10,"64,92"
010 85 15,"66,06"
010 85 20,"67,17"
010 90 05,"77,18"
010 90 10,"74,71"
010 92 05,"79,49"
010 93 05,"80,86"
020 20 05,"6,20"
020 20 10,"6,23"
020 20 20,"6,26"
020 20 29,"6,27"
020 30 05,"9,29"
020 30 10,"9,13"
020 30 20,"8,98"
020 30 30,"8,89"
020 30 40,"9,09"
020 30 48,"9,26"
020 40 05,"14,51"
020 40 10,"13,96"
020 40 20,"13,91"
020 40 30,"13,85"
020 40 40,"13,60"
020 40 50,"13,29"
020 50 05,"21,31"
020 50 10,"20,72"
020 50 20,"20,79"
020 50 30,"20,64"
020 50 40,"20,17"
020 50 50,"20,20"
020 50 58,"21,48"
020 60 05,"30,53"
020 60 10,"29,63"
020 60 20,"30,16"
020 60 30,"29,54"
020 60 40,"29,46"
020 70 05,"43,04"
020 70 10,"41,73"
020 70 20,"42,64"
020 70 30,"42,44"
020 80 05,"59,21"
020 80 10,"57,23"
020 80 20,"57,76"
020 85 05,"65,76"
020 85 10,"65,39"
020 85 20,"66,34"
020 90 05,"78,29"
020 90 10,"75,63"
020 93 05,"81,67"
030 20 10,"6,47"
030 30 10,"9,43"
030 30 20,"9,21"
030 30 30,"9,03"
030 30 40,"9,39"
030 30 45,"8,93"
030 40 10,"13,72"
030 40 20,"14,10"
030 40 30,"13,91"
030 40 40,"14,00"
030 40 50,"14,04"
030 40 60,"14,05"
030 50 10,"20,46"
030 50 20,"20,59"
030 50 30,"20,50"
030 50 40,"20,69"
030 50 50,"20,52"
030 50 60,"20,50"
030 60 10,"30,06"
030 60 20,"29,88"
030 60 30,"29,14"
030 60 40,"29,81"
030 60 50,"29,45"
030 70 10,"42,04"
030 70 20,"41,62"
030 70 30,"41,60"
030 70 40,"41,36"
030 80 10,"57,56"
030 80 20,"56,97"
030 85 05,"64,86"
030 85 10,"64,97"
030 85 20,"66,44"
030 90 05,"77,25"
030 90 10,"77,13"
030 93 05,"82,66"
040 20 05,"6,32"
040 20 10,"6,51"
040 20 19,"6,54"
040 30 05,"9,39"
040 30 10,"9,19"
040 30 20,"9,11"
040 30 30,"9,39"
040 30 40,"9,40"
040 40 05,"14,37"
040 40 10,"14,05"
040 40 20,"14,27"
040 40 30,"13,62"
040 40 40,"13,41"
040 40 50,"13,94"
040 40 60,"13,48"
040 40 67,"14,06"
040 50 05,"20,96"
040 50 10,"20,88"
040 50 20,"20,51"
040 50 30,"20,70"
040 50 40,"20,17"
040 50 50,"20,59"
040 50 60,"21,59"
040 50 70,"21,52"
040 60 05,"30,48"
040 60 10,"30,42"
040 60 20,"29,21"
040 60 30,"30,05"
040 60 40,"29,79"
040 60 50,"30,20"
040 60 60,"29,77"
040 70 05,"42,65"
040 70 10,"42,60"
040 70 20,"42,72"
040 70 30,"42,02"
040 70 40,"41,53"
040 70 50,"41,84"
040 80 05,"58,87"
040 80 10,"58,58"
040 80 20,"59,95"
040 80 30,"59,26"
040 85 05,"66,89"
040 85 10,"67,81"
040 85 20,"67,12"
040 90 05,"78,14"
040 90 10,"78,08"
040 93 05,"84,60"
050 20 10,"6,32"
050 20 16,"6,52"
050 30 10,"8,63"
050 30 20,"9,05"
050 30 30,"9,20"
050 30 36,"9,48"
050 40 10,"13,80"
050 40 20,"13,66"
050 40 30,"13,90"
050 40 40,"13,78"
050 40 50,"14,26"
050 50 10,"21,06"
050 50 20,"20,83"
050 50 30,"20,84"
050 50 40,"20,25"
050 50 50,"20,51"
050 50 60,"19,84"
050 50 70,"20,68"
050 50 78,"22,26"
050 60 10,"29,95"
050 60 20,"29,45"
050 60 30,"30,49"
050 60 40,"29,73"
050 60 50,"30,21"
050 60 60,"30,61"
