RAL Code,LRV
110-1,"80,64"
110-2,"73,60"
110-3,"58,28"
110-4,"59,06"
110-5,"61,62"
110-6,"59,66"
110-M,"43,16"
120-1,"85,62"
120-2,"89,20"
120-3,"86,23"
120-4,"77,44"
120-5,"71,34"
120-6,"77,38"
120-M,"34,12"
130-1,"84,21"
130-2,"84,64"
130-3,"85,37"
130-4,"87,81"
130-5,"78,36"
130-6,"80,72"
130-M,"50,17"
140-1,"71,01"
140-2,"75,13"
140-3,"80,93"
140-4,"78,41"
140-5,"80,46"
140-6,"68,05"
140-M,"46,54"
150-1,"88,16"
150-2,"86,09"
150-3,"77,85"
150-4,"81,29"
150-5,"84,42"
150-6,"78,94"
150-M,"41,75"
160-1,"77,57"
160-2,"78,60"
160-3,"82,58"
160-4,"78,50"
160-5,"80,30"
160-6,"80,18"
160-M,"44,62"
170-1,"60,27"
170-2,"44,02"
240-5,"16,13"
240-6,"15,57"
240-M,"21,80"
250-1,"78,82"
250-2,"71,83"
250-3,"46,55"
250-4,"37,08"
250-5,"28,48"
250-6,"14,71"
250-M,"44,00"
260-1,"81,69"
260-2,"76,88"
260-3,"67,77"
260-4,"55,93"
260-5,"48,34"
260-6,"52,06"
260-M,"38,69"
270-1,"76,40"
270-2,"64,42"
270-3,"56,56"
270-4,"50,08"
270-5,"54,00"
270-6,"61,86"
270-M,"44,70"
280-1,"77,92"
280-2,"68,61"
280-3,"55,62"
280-4,"47,45"
280-5,"42,64"
280-6,"37,70"
280-M,"34,18"
290-1,"40,15"
290-2,"30,32"
290-3,"45,47"
290-4,"35,14"
290-5,"49,63"
290-6,"50,81"
290-M,"30,55"
310-1,"71,97"
310-2,"60,17"
310-3,"48,18"
310-4,"36,66"
310-5,"27,43"
310-6,"15,54"
380-2,"43,18"
380-3,"38,18"
380-4,"29,51"
380-5,"34,09"
380-6,"29,49"
380-M,"20,15"
390-1,"32,75"
390-2,"26,56"
390-3,"23,55"
390-4,"22,25"
390-5,"21,11"
390-6,"22,83"
390-M,"24,44"
410-1,"36,59"
410-2,"31,89"
410-3,"27,70"
410-4,"25,04"
410-5,"22,14"
410-6,"23,42"
410-M,"19,09"
420-1,"51,90"
420-2,"46,27"
420-3,"38,41"
420-4,"27,69"
420-5,"21,80"
420-6,"18,91"
420-M,"17,20"
430-1,"61,82"
430-2,"44,29"
430-3,"35,24"
430-4,"25,05"
430-5,"20,30"
430-6,"16,17"
430-M,"19,50"
440-1,"17,68"
440-2,"21,36"
440-3,"16,03"
440-4,"11,04"
440-5,"12,78"
440-6,"15,13"
440-M,"12,73"
450-1,"64,92"
450-2,"49,12"
450-3,"33,07"
520-6,"15,61"
520-M,"25,55"
530-1,"13,82"
530-2,"12,53"
530-3,"9,74"
530-4,"9,43"
530-5,"7,20"
530-6,"7,50"
530-M,"9,96"
540-1,"57,98"
540-2,"42,02"
540-3,"16,75"
540-4,"21,66"
540-5,"14,77"
540-6,"7,13"
540-M,"10,92"
550-1,"67,03"
550-2,"54,13"
550-3,"34,87"
550-4,"23,79"
550-5,"17,76"
550-6,"12,36"
550-M,"37,14"
560-1,"53,88"
560-2,"38,11"
560-3,"21,11"
560-4,"13,70"
560-5,"21,01"
560-6,"19,38"
560-M,"39,29"
570-1,"64,22"
570-2,"55,41"
570-3,"45,30"
570-4,"36,55"
570-5,"23,78"
570-6,"18,61"
570-M,"20,87"
580-1,"62,72"
580-2,"57,80"
580-3,"46,14"
580-4,"20,13"
580-5,"10,53"
580-6,"6,07"
580-M,"23,56"
660-3,"34,08"
660-4,"41,54"
660-5,"48,17"
660-6,"52,87"
660-M,"36,66"
670-1,"59,31"
670-2,"63,81"
670-3,"51,73"
670-4,"44,92"
670-5,"43,30"
670-6,"47,43"
670-M,"41,89"
680-1,"37,81"
680-2,"25,43"
680-3,"16,19"
680-4,"17,73"
680-5,"14,23"
680-6,"10,65"
680-M,"11,69"
690-1,"44,32"
690-2,"30,74"
690-3,"19,75"
690-4,"13,80"
690-5,"9,43"
690-6,"9,16"
690-M,"16,22"
710-1,"55,20"
710-2,"33,00"
710-3,"22,38"
710-4,"15,75"
710-5,"10,55"
710-6,"7,76"
710-M,"16,71"
720-1,"72,54"
720-2,"68,40"
720-3,"57,82"
720-4,"44,50"
720-5,"26,37"
720-6,"18,73"
720-M,"35,03"
730-1,"75,69"
730-2,"58,98"
730-3,"44,01"
